id;rua;bairro;complemento;numero;cidade;cep;estado
1;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;67569;bandwidth azure;SMS Enhanced;PR
2;Equatorial Guinea Vision-oriented;Agent;Human deposit;33902;cross-media;programming SCSI drive;DF
3;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;99445;Fish;Networked;AP
4;payment calculating;local area network Benin;turn-key dedicated;24398;Strategist target;Investor users dot-com;CE
5;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;27956;PCI back up Factors;architectures;RR
6;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;57006;Intelligent;Zambian Kwacha intuitive;PB
7;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;518;Auto Loan Account olive;Yen;SE
8;North Dakota Garden;Towels Specialist;Utah Computers Small Fresh Gloves;36019;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;AP
9;Frozen Analyst card;redundant;content;74404;Ameliorated;Brand;AL
10;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;61172;paradigms Organic strategic;Steel leading-edge Small;RR
